tconst,genre_id
tt0034786,9
tt0034786,15
tt0034786,22
tt0034798,7
tt0034798,9
tt0034798,12
tt0034862,6
tt0034862,9
tt0034862,16
tt0034881,6
tt0034881,11
tt0034881,21
tt0034890,9
tt0034891,9
tt0034891,27
tt0034922,9
tt0034922,12
tt0034922,26
tt0034946,9
tt0035015,9
tt0035015,21
tt0035019,6
tt0035019,21
tt0035093,9
tt0035093,21
tt0035093,27
tt0035140,9
tt0035140,21
tt0035160,7
tt0035160,9
tt0035160,21
tt0035169,6
tt0035169,21
tt0035211,5
tt0035211,9
tt0035211,21
tt0035238,9
tt0035238,21
tt0035262,3
tt0035262,6
tt0035262,10
tt0035279,9
tt0035279,26
tt0035279,27
tt0035317,3
tt0035317,7
tt0035317,9
tt0035318,7
tt0035318,15
tt0035318,18
tt0035417,6
tt0035417,9
tt0035417,21
tt0035423,6
tt0035423,11
tt0035423,21
tt0035432,7
tt0035432,9
tt0035432,12
tt0035446,6
tt0035446,21
tt0035446,27
tt0035567,6
tt0035567,9
tt0035567,21
tt0035575,5
tt0035575,9
tt0035575,10
tt0035753,7
tt0035753,9
tt0035753,18
tt0035799,3
tt0035799,27
tt0035884,9
tt0035884,26
tt0035884,27
tt0035896,3
tt0035896,9
tt0035896,14
tt0035899,11
tt0035899,15
tt0035899,22
tt0035966,9
tt0035966,12
tt0035966,26
tt0035979,6
tt0035979,9
tt0035979,11
tt0036027,9
tt0036027,11
tt0036027,15
tt0036098,3
tt0036098,9
tt0036098,10
tt0036104,12
tt0036104,15
tt0036104,26
tt0036112,9
tt0036112,21
tt0036112,27
tt0036154,11
tt0036154,18
tt0036154,23
tt0036172,6
tt0036172,21
tt0036241,1
tt0036241,3
tt0036241,9
tt0036244,9
tt0036244,28
tt0036260,7
tt0036260,9
tt0036260,12
tt0036261,9
tt0036261,15
tt0036261,16
tt0036323,1
tt0036323,9
tt0036323,27
tt0036326,3
tt0036326,4
tt0036326,6
tt0036341,9
tt0036341,15
tt0036341,18
tt0036342,9
tt0036342,12
tt0036342,18
tt0036348,7
tt0036348,15
tt0036348,18
tt0036349,15
tt0036349,18
tt0036349,26
tt0036376,9
tt0036376,11
tt0036376,15
tt0036377,5
tt0036377,9
tt0036377,18
tt0036400,1
tt0036400,3
tt0036400,9
tt0036506,9
tt0036506,14
tt0036515,9
tt0036515,26
tt0036613,6
tt0036613,7
tt0036613,26
tt0036695,6
tt0036695,9
